INCIDENT_ID,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,Month,Year,Date
CR_195453,0,30,35,7,3,6,4,0,5,1,174,,72,119,23,2,2018,1
CR_103520,0,44,44,1,3,7,1,4,6,1,316,0.0,12,29,34,3,2004,5
CR_196089,0,34,33,3,5,2,7,3,0,1,316,1.0,72,0,34,1,2018,27
CR_112195,7,3,2,3,5,9,8,0,5,1,174,1.0,112,87,34,8,2006,18
CR_149832,0,7,8,7,3,2,7,1,5,1,174,0.0,112,93,43,10,2011,31
CR_81654,0,47,48,7,3,4,2,1,6,1,0,0.0,34,29,34,3,2001,25
CR_139009,0,33,32,2,1,6,4,0,5,1,174,0.0,103,103,43,7,2009,13
CR_6108,0,21,23,4,1,5,6,0,5,1,249,1.0,92,93,34,9,1992,14
CR_62283,0,36,34,2,1,1,0,0,5,1,174,0.0,92,93,48,3,1999,31
CR_5710,0,16,15,0,0,1,0,3,6,7,316,7.0,72,29,34,3,1992,13
CR_188972,0,33,32,2,1,6,4,0,5,1,174,,112,119,43,5,2017,31
CR_74490,0,4,4,6,5,1,0,1,2,2,249,2.0,103,80,34,8,2001,15
CR_21774,0,36,34,2,1,4,2,1,6,1,249,1.0,92,29,34,5,1994,19
CR_82685,0,4,4,6,5,9,8,1,6,1,249,1.0,98,62,34,1,2002,7
CR_188343,0,26,27,9,0,3,5,1,6,1,316,1.0,48,29,34,8,2017,4
CR_104212,0,47,48,7,3,4,2,1,6,1,316,0.0,103,29,34,7,2004,25
CR_49142,0,4,4,6,5,4,2,1,6,1,249,1.0,103,29,34,2,1998,2
CR_7923,0,33,32,2,1,7,1,0,5,1,174,0.0,92,93,0,7,1992,23
CR_106361,0,5,5,3,5,5,6,0,5,2,179,1.0,103,29,34,12,2005,24
CR_153593,1,44,44,1,3,16,12,1,5,1,174,1.0,103,29,34,6,2011,5
CR_70128,0,36,34,2,1,1,0,3,2,1,303,1.0,92,142,34,9,2000,5
CR_177912,1,49,49,6,5,15,10,4,6,1,249,1.0,72,29,34,8,2015,23
CR_119901,0,4,4,6,5,3,5,1,6,1,0,1.0,103,29,34,4,2007,14
CR_35246,0,16,15,0,0,7,1,0,5,2,249,2.0,103,29,34,7,1996,17
CR_149719,0,6,6,4,1,6,4,1,6,1,249,1.0,116,29,34,10,2011,5
CR_99068,1,9,10,7,3,11,17,1,6,1,249,1.0,31,29,34,10,2004,25
CR_137684,0,21,23,4,1,2,7,0,5,2,316,2.0,34,87,34,2,2009,18
CR_151347,0,25,25,9,0,7,1,1,6,2,316,2.0,103,29,34,5,2011,25
CR_59238,1,9,10,7,3,15,10,1,5,1,174,0.0,84,133,43,1,1999,21
CR_78703,0,33,32,2,1,6,4,0,5,1,249,1.0,72,6,34,9,2001,16
CR_14980,0,33,32,2,1,6,4,0,5,1,174,1.0,92,130,34,11,1993,6
CR_159224,7,36,34,2,1,9,8,0,5,1,174,1.0,92,29,34,10,2012,8
CR_116795,0,33,32,2,1,5,6,0,5,1,174,0.0,112,29,43,3,2006,2
CR_169853,0,30,35,7,3,3,5,1,6,2,249,2.0,67,87,34,6,2014,9
CR_77607,0,24,24,0,0,6,4,0,5,1,249,0.0,103,87,34,9,2001,12
CR_72161,1,49,49,6,5,15,10,0,5,1,249,1.0,103,29,34,12,2000,28
CR_7589,0,33,32,2,1,7,1,0,5,1,174,0.0,103,29,43,12,1992,12
CR_73678,0,4,4,6,5,1,0,0,5,1,249,1.0,24,107,34,7,2001,8
CR_48947,0,3,2,3,5,1,0,4,6,1,249,1.0,72,29,34,1,1998,11
CR_38884,0,36,34,2,1,1,0,1,6,1,249,1.0,92,142,34,2,1996,15
CR_132634,0,36,34,2,1,1,0,0,5,1,174,1.0,92,29,36,5,2008,16
CR_20524,0,24,24,0,0,5,6,1,6,1,249,1.0,103,93,34,6,1994,18
CR_129183,5,8,7,7,3,18,13,0,5,1,174,0.0,18,133,46,11,2008,4
CR_127437,3,4,4,6,5,9,8,1,6,2,303,2.0,2,62,34,10,2008,5
CR_179077,0,4,4,6,5,3,5,2,3,1,0,1.0,59,62,34,5,2016,14
CR_141431,1,49,49,6,5,15,10,1,6,2,316,2.0,34,80,34,8,2009,9
CR_135001,0,51,50,7,3,9,8,1,6,1,313,0.0,42,142,0,5,2008,23
CR_108962,0,30,35,7,3,7,1,0,5,1,174,0.0,112,29,43,2,2005,2
CR_114858,0,21,23,4,1,2,7,1,6,1,316,1.0,24,14,34,6,2006,15
CR_179765,5,8,7,7,3,15,10,0,5,1,174,0.0,103,29,18,8,2016,23
CR_110903,0,43,43,9,0,9,8,1,6,1,316,1.0,103,25,34,7,2005,5
CR_2596,0,36,34,2,1,1,0,1,6,1,0,1.0,92,62,34,4,1991,30
CR_193843,0,17,16,0,0,2,7,1,3,1,249,1.0,98,130,34,4,2018,12
CR_107764,1,22,22,7,3,15,10,0,5,1,174,1.0,103,93,34,5,2005,10
CR_106761,0,9,10,7,3,9,8,1,2,1,316,1.0,92,107,34,2,2005,25
